restaurant_id,restaurant_name,cuisine,city_id,rating,opening_year
109,Royal Kitchen 109,Desserts,5,4.6,2015
110,Food Junction 110,Chinese,10,5.0,2014
111,South Treat 111,Desserts,13,3.9,2008
112,Spice Villa 112,North Indian,4,4.3,2008
113,Chinese Express 113,North Indian,13,4.5,2017
114,Pizza Point 114,South Indian,9,5.0,2021
115,Food Junction 115,North Indian,3,4.6,2010
116,Burger Hub 116,South Indian,15,4.8,2021
117,Chinese Express 117,Italian,12,3.6,2011
118,South Treat 118,South Indian,11,4.7,2010
119,Royal Kitchen 119,Mughlai,1,4.2,2012
120,Tandoori Flames 120,Chinese,5,4.8,2020
121,Chinese Express 121,Chinese,8,3.9,2010
122,Tandoori Flames 122,South Indian,13,4.7,2011
123,Biryani House 123,North Indian,3,4.2,2018
124,Spice Villa 124,North Indian,9,4.0,2014
125,Food Junction 125,Chinese,8,3.9,2011
126,Pizza Point 126,South Indian,13,4.5,2009
127,Tandoori Flames 127,Desserts,14,4.0,2010
128,Tandoori Flames 128,Chinese,7,4.3,2017
129,Punjabi Tadka 129,Desserts,3,3.5,2020
130,Food Junction 130,Mughlai,12,4.3,2011
131,Food Junction 131,North Indian,13,4.7,2011
132,Burger Hub 132,North Indian,14,4.7,2015
133,Biryani House 133,South Indian,14,4.1,2010
134,Royal Kitchen 134,Mughlai,5,4.9,2010
135,Burger Hub 135,North Indian,4,4.9,2022
136,Biryani House 136,North Indian,15,4.8,2018
137,Pizza Point 137,North Indian,8,3.6,2021
138,Spice Villa 138,Italian,1,4.1,2021
139,Biryani House 139,Chinese,4,4.9,2016
140,Punjabi Tadka 140,Italian,15,3.7,2015
141,Punjabi Tadka 141,Italian,7,4.8,2023
142,Burger Hub 142,North Indian,5,4.1,2021
143,Tandoori Flames 143,Fast Food,15,4.7,2015
144,South Treat 144,Desserts,1,5.0,2019
145,Food Junction 145,Mughlai,13,4.2,2024
146,Chinese Express 146,Italian,5,3.8,2018
147,Royal Kitchen 147,South Indian,1,4.8,2016
148,Burger Hub 148,Desserts,8,4.3,2015
149,Biryani House 149,North Indian,4,4.5,2016
150,South Treat 150,Desserts,13,4.9,2009
